Описание,Цена,Площадь,Количество комнат,x,y,Адрес,Район,Категория на сайте,Владелец,Категория владельца,Дата обьявления,Срок аренды
"2-комнатная квартира, 58 м², 2/9 этаж помесячно",250000,58,2,76.831568,43.257028,мкр Акбулак 95,Alatauskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 55 м², 4/8 этаж помесячно",350000,55,2,76.943902,43.266055,Панфилова 52 — Макатаева,Almalinskiy_r-n,Аренда квартир,Захарова Г.И,Компания,2022-12-08,Помесячно
"1-комнатная квартира, 34 м², 1/5 этаж помесячно",250000,34,1,76.900163,43.243625,Шевченко 157 — Ауэзова,Almalinskiy_r-n,Аренда квартир,Захарова Г.И,Компания,2022-12-08,Помесячно
"4-комнатная квартира, 140 м², 1/3 этаж помесячно",2299777,140,4,76.940041778439,43.214021714991,Аль- Фараби,,Аренда квартир,"Примушко Ольга, компания «Агентство недвижимости Мечта»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 40 м², 4/5 этаж помесячно",180000,40,1,76.772790083935,43.216584357469,Алтын ордк — Мечеть,Nauryzbayskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 77 м², 2/5 этаж помесячно",250000,77,2,76.950279976405,43.231156920799,Фурманова 67,Medeuskiy_r-n,Аренда квартир,Камиля Касымова,Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 90 м², 6/10 этаж помесячно",550000,90,2,76.928278042178,43.227541458545,"мкр Коктем-1, Тимирязева 37 — Шашкина",Bostandykskiy_r-n,Аренда квартир,"Қазақпай Айбек, компания «PRIME»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 65 м², 19/21 этаж помесячно",350000,65,2,76.86903263042,43.247870931485,Толе би 286/3,,Аренда квартир,Кулжанова Динара,Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 75 м², 5/10 этаж помесячно",400000,75,2,76.898788534642,43.201265581445,Гагарина 311а,,Аренда квартир,Кулжанова Динара,Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 52 м², 7/13 этаж помесячно",400000,52,2,76.919920452804,43.254999188579,Казыбек би 139 — Шагабутдинова,Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 60 м², 3/5 этаж помесячно",220000,60,2,76.976152,43.319094,мкр Жас Канат 86,Turksibskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 78 м², 4/13 этаж помесячно",450000,78,2,76.911678314209,43.206740838983,Ходжанова 76,Bostandykskiy_r-n,Аренда квартир,"Саматова Жулдыз, компания «Арбат Риэл Эстейт»",Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 124 м², 2/3 этаж помесячно",1300000,124,3,76.938664777592,43.214421612289,Аль- Фараби 116,Medeuskiy_r-n,Аренда квартир,"Саматова Жулдыз, компания «Арбат Риэл Эстейт»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 43 м², 15/17 этаж помесячно",350000,43,1,76.901630639624,43.252233878029,Толе би 185А,,Аренда квартир,Кулжанова Динара,Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 75 м², 2/3 этаж помесячно",700000,75,3,76.955185237206,43.245532369152,Пушкина 116 — Курмангазы,Medeuskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"1-комнатная квартира, 41 м², 4/9 этаж помесячно",220000,41,1,76.88201,43.212057,мкр Таугуль-2 50 — Навои Джандосова,Auezovskiy_r-n,Аренда квартир,Кеттебекова (Alkom rielti),Компания,2022-12-08,Помесячно
"1-комнатная квартира, 42 м², 4/5 этаж помесячно",150000,42,1,76.97572,43.318077,мкр Жас Канат 82,Turksibskiy_r-n,Аренда квартир,Кеттебекова (Alkom rielti),Компания,2022-12-08,Помесячно
"2-комнатная квартира, 45 м², 3 этаж помесячно",600000,45,2,76.940776,43.252996,Богенбай батыра — Желтоксан,Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"3-комнатная квартира, 75 м², 1/9 этаж помесячно",400000,75,3,76.898582,43.26593,проспект Райымбека 247В,Zhetysuskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 50 м², 6/14 этаж помесячно",600000,50,2,76.897450162692,43.207343800535,Гагарина 277/7,Bostandykskiy_r-n,Аренда квартир,"Манликова Наргиз, компания «Atrium Expert»",Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 90 м², 8/18 этаж помесячно",800000,90,3,76.884845495224,43.206632334711,Навои 208 — Торайгырова,Bostandykskiy_r-n,Аренда квартир,"Мухамеджанова Айдана, компания «Агентство Недвижимости  Алма-Ата»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 39 м², 5/14 этаж помесячно",350000,39,1,76.852302,43.24697,Толе би — Отеген батыра,Bostandykskiy_r-n,Аренда квартир,"Мухамеджанова Айдана, компания «Агентство Недвижимости  Алма-Ата»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 44 м², 3/4 этаж помесячно",320000,44,2,76.920483,43.229071,мкр Коктем-2,Bostandykskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"1-комнатная квартира, 36.3 м², 1/9 этаж помесячно",350000,36.3,1,76.903738,43.253081,Айтиева 13,Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"1-комнатная квартира, 45 м², 4/12 этаж помесячно",370000,45,1,76.897495,43.204939,проспект Гагарина — Левитана,Bostandykskiy_r-n,Аренда квартир,"Елшибекова Айсулу, компания «РЕГИОН 02»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 52 м², 1/5 этаж помесячно",500000,52,2,76.907655,43.248984,Карасай батыра — Нурмакова,Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"1-комнатная квартира, 28 м², 4/4 этаж помесячно",250000,28,1,76.937343731878,43.255426219727,Казыбек би (бывш. Советская) 68-70 — Наурызбай батыра (бывш. Дзержинского),,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"4-комнатная квартира, 220 м², 2/4 этаж помесячно",2000000,220,4,76.941198,43.210557,Жамакаева,Medeuskiy_r-n,Аренда квартир,"Саматова Жулдыз, компания «Арбат Риэл Эстейт»",Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 150 м², 7/18 этаж помесячно",1500000,150,3,76.86882952752,43.198250557179,Аскарова 8,Bostandykskiy_r-n,Аренда квартир,"Мальцев Дмитрий, компания «Этажи - Алматы»",Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 113 м², 11/12 этаж помесячно",1400000,113,3,76.938521,43.229544,Сейфуллина 574,Bostandykskiy_r-n,Аренда квартир,"Мальцев Дмитрий, компания «Этажи - Алматы»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 40 м², 9/9 этаж помесячно",230000,40,1,76.837622,43.234595,"мкр Аксай-2, Кабдолова — Бауыржана Момышулы",Auezovskiy_r-n,Аренда квартир,Акбуркитова Маржан,Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 49 м² помесячно",200000,49,1,76.819791,43.25385,мкр Нуркент (Алгабас-1),Alatauskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 58 м², 1/9 этаж помесячно",260000,58,2,76.854316635582,43.214075309476,мкр Мамыр-3,Auezovskiy_r-n,Аренда квартир,Фитисова Наталья,Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 40 м², 1/5 этаж помесячно",250000,40,1,76.900055,43.237754,Жарокова 126 — Абая,Bostandykskiy_r-n,Аренда квартир,Дадаев Саид,Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 45 м², 3/10 этаж помесячно",250000,45,2,76.832197,43.231757,мкр Аксай-5 25,Auezovskiy_r-n,Аренда квартир,"Асанова Меруерт, компания «Apartamenty Almaty»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 52 м², 3/5 этаж помесячно",350000,52,2,76.947082,43.244919,Курмангазы 43 — Назарбаева,Medeuskiy_r-n,Аренда квартир,"Нурсеитова Айгуль, компания «Агентство недвижимости Шанырак»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 32 м², 2/5 этаж помесячно",230000,32,1,76.905681815747,43.253627222144,Казыбек би — Нурмакова,Almalinskiy_r-n,Аренда квартир,Солдатенко Елизавета,Специалист,2022-12-08,Помесячно
"4-комнатная квартира, 142 м², 2/17 этаж помесячно",2900000,142,4,76.948897,43.192229,"мкр Актобе, Сатпаева 30/5",Bostandykskiy_r-n,Аренда квартир,"Malika Abdulrasit, компания «1/99»",Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 100 м², 1/16 этаж помесячно",780000,100,3,76.876761868133,43.230028241857,Сатпаева 90/43а,,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 70.2 м², 7/12 этаж помесячно",550000,70.2,2,76.885835,43.231252,Егизбаева 7/1 — Сатпаева Розбакиева,Bostandykskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 40 м², 1/5 этаж помесячно",400000,40,2,76.933149,43.259706,Сейфуллина 452/3 — Гоголя,Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 65.2 м², 7 этаж помесячно",650000,65.2,2,76.956658,43.227659,мкр Самал-3 15к1 — Мендекулова,Medeuskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 55 м², 12/13 этаж помесячно",350000,55,2,76.918500452423,43.262554353583,Макатаева 131 — Муратбаева,Almalinskiy_r-n,Аренда квартир,Нүркасым Мәдина,Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 70 м², 12/13 этаж помесячно",500000,70,3,76.946355195349,43.271876683944,Просп. Назарбаева 28,Medeuskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 65 м², 7/17 этаж помесячно",400000,65,2,76.884335,43.231462,Егизбаева 7/7 — Сатпаева,Bostandykskiy_r-n,Аренда квартир,"Магжан Урманбаев, компания «Авангард»",Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 58.9 м², 5/9 этаж помесячно",230000,58.9,3,76.875172,43.213258,мкр Таугуль 11 — Ясауи Шаляпина,Auezovskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"3-комнатная квартира, 65.7 м², 2/5 этаж помесячно",350000,65.7,3,76.90293,43.244335,Уэзова,Auezovskiy_r-n,Аренда квартир,"Казаротто Саида, компания «РЕГИОН 02»",Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 72 м², 2/5 этаж помесячно",350000,72,3,76.887757756189,43.196973533003,Навои — Аль-Фараби,Bostandykskiy_r-n,Аренда квартир,Абдыкулов Омирбек,Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 95 м², 5/16 этаж помесячно",700000,95,3,76.909233321567,43.241739189985,Манаса 109а — Абая,Almalinskiy_r-n,Аренда квартир,"Баккелды Султан, компания «Avenue»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 58 м², 13/21 этаж помесячно",800000,58,2,76.939114,43.230188,Сейфуллина,Bostandykskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"3-комнатная квартира, 58 м², 3/15 этаж помесячно",500000,58,3,76.899913108869,43.261494803805,Ауэзова 1 — Гоголя Ауэзова,Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 80 м², 3/7 этаж помесячно",350000,80,2,76.90620862275,43.247643706816,Нурмакова 79 — Кабанбай батыра,Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"1-комнатная квартира, 60 м², 12/13 этаж помесячно",500000,60,1,76.945483,43.271136,Назарбаева 28к4,Medeuskiy_r-n,Аренда квартир,5th Avenue,Компания,2022-12-08,Помесячно
"3-комнатная квартира, 74 м², 3/4 этаж помесячно",650000,74,3,76.940704,43.252576,Богенбай батыра 136 — Богенбай батыра - желтоксан,Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 44 м², 3/5 этаж помесячно",500000,44,2,76.884919,43.198427,мкр Орбита-2 36 — Бижана,Bostandykskiy_r-n,Аренда квартир,Лапицкий Герман,Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 70 м², 8/9 этаж помесячно",700000,70,3,76.960529491493,43.22465260391,мкр Самал-3 105/2 — проспект Достык,Medeuskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 77 м², 4/7 этаж помесячно",200000,77,2,76.867518424988,43.229746227002,8 микрорайон 41/6,,Аренда квартир,Камиля Касымова,Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 60 м², 3/4 этаж помесячно",450000,60,2,76.935395,43.254473,Толе Би 73 — Наурызбай батыра,Almalinskiy_r-n,Аренда квартир,"Руденко Виктория, компания «Авангард»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 70 м², 4/14 этаж помесячно",530000,70,2,76.891760364306,43.20645649853,Хусаинова,Bostandykskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 65 м², 11/17 этаж помесячно",400000,65,2,76.90231,43.207515,мкр Алмагуль 7/6,Bostandykskiy_r-n,Аренда квартир,"Тыныбаева Бибигуль, компания «ТОО Витрина Алматы»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 57 м², 1/9 этаж помесячно",400000,57,2,76.900037,43.266573,Райымбека 243Г,Zhetysuskiy_r-n,Аренда квартир,"Успанова Салтанат, компания «КУЖУГАЛДИНОВ»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 55 м², 2/12 этаж помесячно",400000,55,1,76.911673588746,43.209530115015,Ходжанова 57/5 — Аль фараби,Bostandykskiy_r-n,Аренда квартир,"Коригова Диана, компания «Авангард»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 56 м², 8/9 этаж помесячно",315000,56,2,76.89162,43.25058,Толе Би — проспект Гагарина,Almalinskiy_r-n,Аренда квартир,Агенство недвижимости  ASPAN,Компания,2022-12-08,Помесячно
"3-комнатная квартира, 80 м², 5/9 этаж помесячно",450000,80,3,76.881571,43.226062,Тлендиева 256 А,Bostandykskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 47 м², 5/5 этаж помесячно",250000,47,2,76.871453,43.199465,мкр Орбита-3,Bostandykskiy_r-n,Аренда квартир,"Даиров Сержан, компания «TOO ""DS RICH company""»",Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 72 м², 2/3 этаж помесячно",550000,72,3,76.913746,43.252346,"Толеби — ТД Сити центр, ул Жумалиева",Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"1-комнатная квартира, 43 м², 5/9 этаж помесячно",300000,43,1,76.890060440131,43.251740848238,Толеби — Толеби Гагарина,Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"7-комнатная квартира, 414 м², 19/20 этаж помесячно",3000000,414,7,76.946118301573,43.230804972252,Козыбаева — проспект Аль-Фараби,Bostandykskiy_r-n,Аренда квартир,"Шанов Максим, компания «Этажи - Алматы»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 28 м², 5/13 этаж помесячно",270000,28,1,76.919920452804,43.254999188579,Казыбек би 139,Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"3-комнатная квартира, 82 м², 1/9 этаж помесячно",390000,82,3,76.889482,43.244906,Розыбакиева 72,Almalinskiy_r-n,Аренда квартир,"Арсамиков Халид, компания «Этажи - Алматы»",Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 90 м², 2/5 этаж помесячно",550000,90,3,76.938027,43.242988,Наурызбай батыра 146 — Абая,Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"4-комнатная квартира, 170 м², 5/19 этаж помесячно",1000000,170,4,76.917302239235,43.243377062782,Курмангазы 145 — Курмангазы-Муканова,Almalinskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"3-комнатная квартира, 75 м² помесячно",400000,75,3,76.947909,43.261971,Жибек-жолы 68 — Тулебаева,Medeuskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 54 м², 1/3 этаж помесячно",560000,54,2,76.930125,43.199137,Переулок 5 1,Bostandykskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 78 м², 4/9 этаж помесячно",230000,78,2,76.840398,43.232473,мкр Аксай-4,Auezovskiy_r-n,Аренда квартир,"Досекеева Улжалгас, компания «риэлторская группа КВАДРАТ»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 47 м², 9/9 этаж помесячно",180000,47,1,76.817904,43.253915,"мкр Нуркент (Алгабас-1), Алгабас-1 68",Alatauskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 67 м², 5/13 этаж помесячно",500000,67,2,76.871722727203,43.203956325184,Рыскулбекова,Bostandykskiy_r-n,Аренда квартир,Агенство недвижимости  ASPAN,Компания,2022-12-08,Помесячно
"2-комнатная квартира, 55 м², 5/5 этаж помесячно",380000,55,2,76.889877,43.221615,Басенова 41/2 — Розыбакиева,Bostandykskiy_r-n,Аренда квартир,Хасенов Азамат,Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 49 м², 15/17 этаж помесячно",550000,49,2,76.92135102523,43.234843116956,Сатпаева 30а,Bostandykskiy_r-n,Аренда квартир,Нұрмұхамбетов Балкаш,Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 25 м², 1/3 этаж помесячно",150000,25,1,76.869342,43.215157,10 микрорайон 57 а — Берегового,Auezovskiy_r-n,Аренда квартир,"Казаротто Саида, компания «РЕГИОН 02»",Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 68 м², 2/5 этаж помесячно",280000,68,3,76.873564,43.210111,мкр Таугуль,Auezovskiy_r-n,Аренда квартир,"Казаротто Саида, компания «РЕГИОН 02»",Специалист,2022-12-08,Помесячно
"4-комнатная квартира, 126.3 м², 2/5 этаж помесячно",900000,126.3,4,76.954706,43.219243,проспект Назарбаева 311,Medeuskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 120 м², 1/3 этаж помесячно",2000000,120,2,76.938664777592,43.214421612289,Аль- Фараби 116,Medeuskiy_r-n,Аренда квартир,"Виктория Валерьевна, компания «Apartamenty Almaty»",Специалист,2022-12-08,Помесячно
"5-комнатная квартира, 250 м², 4/6 этаж помесячно",1900000,250,5,76.915004843394,43.201226321039,Санаторная,Bostandykskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"1-комнатная квартира, 57 м², 2/5 этаж помесячно",180000,57,1,76.924903,43.355787,мкр Кокжиек 45,Zhetysuskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 67 м², 4/5 этаж помесячно",350000,67,2,76.935988,43.265543,Чайковского 23/60,Almalinskiy_r-n,Аренда квартир,Усков Роман,Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 30 м², 2/2 этаж помесячно",150000,30,1,76.96495,43.254926,Богенбай Батыра 53А — Бегалина,Medeuskiy_r-n,Аренда квартир,"Исмагулов Максат, компания «Этажи - Алматы»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 45 м², 12/12 этаж помесячно",220000,45,1,76.871722727203,43.203956325184,Рыскулбекова 28/1,Bostandykskiy_r-n,Аренда квартир,Тлегенова Анар Амангельдиевна,Компания,2022-12-08,Помесячно
"2-комнатная квартира, 77 м², 5/13 этаж помесячно",220000,77,2,76.896990537643,43.223598689278,Гагарина 194,Almalinskiy_r-n,Аренда квартир,Камиля Касымова,Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 55 м², 6/13 этаж помесячно",350000,55,2,76.918001685368,43.265179638936,Макатаева 127/25,Almalinskiy_r-n,Аренда квартир,Нүркасым Мәдина,Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 40 м², 4/8 этаж помесячно",195000,40,1,76.895389647147,43.297664771908,Северное кольцо,Zhetysuskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"3-комнатная квартира, 75 м², 2/9 этаж помесячно",600000,75,3,76.946435,43.260547,проспект Назарбаева 76,Medeuskiy_r-n,Аренда квартир,"Бекбатырова Перизат, компания «BUGACHIEV.com»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 45 м², 1/9 этаж помесячно",250000,45,1,76.814248,43.242122,"мкр Аккент, Мкр. Аккент 9",Alatauskiy_r-n,Аренда квартир,Махат Мурат,Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 42 м², 3/5 этаж помесячно",300000,42,2,76.87581,43.196908,мкр Орбита-4 — Мустафина Биржана,Bostandykskiy_r-n,Аренда квартир,Рустемов Даурен,Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 60 м², 4/12 этаж помесячно",300000,60,1,76.840865228194,43.210278555985,Шаляпина 21,Auezovskiy_r-n,Аренда квартир,"Давыдова Анна, компания «РЕГИОН 02»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 36 м², 6/12 этаж помесячно",240000,36,1,76.814949,43.251085,мкр Акбулак 43 — 1- я,Alatauskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 55 м², 9/10 этаж помесячно",200000,55,2,76.777380975705,43.215822489618,Жунисова,Nauryzbayskiy_r-n,Аренда квартир,"Төлеубек Индира, компания «Leader Home Reality»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 60.1 м², 2/10 этаж помесячно",350000,60.1,2,76.833832,43.242555,мкр Аксай-1,Auezovskiy_r-n,Аренда квартир,"Төлеубек Индира, компания «Leader Home Reality»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 49 м², 16/17 этаж помесячно",550000,49,2,76.923505151426,43.234270681679,Бухар жырау,Bostandykskiy_r-n,Аренда квартир,Нұрмұхамбетов Балкаш,Специалист,2022-12-08,Помесячно
"3-комнатная квартира, 49 м², 15/17 этаж помесячно",550000,49,3,76.92135102523,43.234843116956,Сатпаева 30а,Bostandykskiy_r-n,Аренда квартир,Нұрмұхамбетов Балкаш,Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 55 м², 7/9 этаж помесячно",300000,55,2,76.843292312827,43.22793901627,"мкр Аксай-4, Саина 83 — проспект Улугбека",Auezovskiy_r-n,Аренда квартир,"Симатов Нуршат, компания «UNIQUE HOMES»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 35 м², 3/3 этаж помесячно",170000,35,1,76.981613,43.334879,Майлина — Возле магазина Чайка,Turksibskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
