Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Помощник мастера по ремонту стиральных машин,40,от 300 000 до 450 000 KZT на руки,не требуется,ИП Захарчук Леонид Дмитриевич (A Service),Вакансия опубликована 18 мая 2023 в Алматы,"Алматы, Линия А, метро Абая",полный день,"Полная занятость, полный день",Пользователь ПК;Ремонт бытовой техники;Ремонт техники;Гарантийное обслуживание;Ремонт;Терпеливость;Стабильность;Техническая грамотность;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/79818720
Администратор,140,от 250 000 до 350 000 KZT до вычета налогов,не требуется,ТОО HAIM GROUP (ХАЙМ ГРУПП),Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, Абая, микрорайон Кок-Тобе, улица Радлова, 68",сменный график,"Полная занятость, сменный график",Грамотность;Умение расставлять приоритеты;Умение работать с людьми;Навыки улаживания конфликтов;Не конфликтность;Высокая энергичность и инициативность;Умение адаптироваться;Опрятность;,https://almaty.hh.kz/vacancy/80433457
Аналитик-стажер по направлению маркетплейсы,68,от 300 000 до 500 000 KZT на руки,не требуется,ТОО Еком Маркетинг,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, Москва, улица Утеген Батыра, 7/2",полный день,"Стажировка, полный день",Adobe Photoshop;Figma;Маркетплейсы;Аналитическое мышление;Google таблицы;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80937970
Оператор ввода данных,84,от 230 000 до 230 000 KZT на руки,не требуется,ТОО Alfa Delivery Services,Вакансия опубликована 26 мая 2023 в Алматы,"Алматы, Райымбек батыра, проспект Суюнбая, 153",полный день,"Полная занятость, полный день",опытный пользователь пк;,https://almaty.hh.kz/vacancy/81085301
Архивариус,33,от 180 000 до 180 000 KZT на руки,не требуется,ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ SOFI FINANCE (СОФИ ФИНАНС),Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, проспект Сакена Сейфуллина, 502",полный день,"Полная занятость, полный день",Ведение архива;Электронный документооборот;Делопроизводство;Архивирование;Экспертиза ценности документов;Подготовка документации к архивированию;Работа с документами длительного хранения;Отчетность;,https://almaty.hh.kz/vacancy/80271397
SMM-специалист,3,от 150 000 до 600 000 KZT до вычета налогов,не требуется,ТОО GARCOM,Вакансия опубликована 24 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Инстаграм;Тик Ток;Социальные сети;Продвижение в социальных группах;Cоциальный маркетинг;Наполнение контентом;Instagram;Ведение социальных сетей;Видеосъемка;Видеомонтаж;,https://almaty.hh.kz/vacancy/80773887
Хостес,140,от 250 000 KZT на руки,не требуется,ТОО Сыроварня,Вакансия опубликована 26 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Умение работать в команде;внимательность;,https://almaty.hh.kz/vacancy/78411346
Офис-менеджер,40,от 200 000 до 400 000 KZT до вычета налогов,не требуется,ТОО BIG STAR for everyone,Вакансия опубликована 17 мая 2023 в Алматы,"Алматы, улица Оспанова, 26",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80570803
Оператор в службу доставки,40,от 200 000 KZT до вычета налогов,не требуется,ИП Мороз,Вакансия опубликована 26 мая 2023 в Алматы,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80868753
2D-художник,34,з/п не указана,не требуется,Fntastic,Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Adobe Photoshop;Разработка компьютерных Игр;Gamedev;Работа в условиях многозадачности;Игровой опыт;Художник;Концептирование;,https://almaty.hh.kz/vacancy/81000512
Контролер билетов,40,от 150 000 до 150 000 KZT на руки,не требуется,ТОО Транспортный холдинг города Алматы,Вакансия опубликована 26 мая 2023 в Алматы,"Алматы, Алатауский район, микрорайон Самгау, улица Кокорай, 2А/1",сменный график,"Полная занятость, сменный график","вежливость, ответственность за свою работу;Казахский — B2 — Средне-продвинутый;Русский — B2 — Средне-продвинутый;",https://almaty.hh.kz/vacancy/81080165
Стажер в отдел IT,40,з/п не указана,не требуется,ТОО Нестле Фуд Казахстан,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, улица Тимирязева, 28В",полный день,"Стажировка, полный день",Деловая коммуникация;MS Excel;Усидчивость;Коммуникативные навыки;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/79182371
Специалист по сопровождению (логистика),67,от 1 000 USD на руки,не требуется,SWG,Вакансия опубликована 11 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80322167
Администратор в медицинский офис,8,от 150 000 KZT на руки,не требуется,ТОО INVITRO (ТОО ИНВИТРО-Казахстан),Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Материальная ответственность;Работа с оргтехникой;Клиентоориентированность;Работа с кассой;Ведение отчетности;Работа с большим объемом информации;Грамотная речь;Документальное сопровождение;Деловое общение;Пользователь ПК;,https://almaty.hh.kz/vacancy/80997997
Junior таргетолог,68,от 120 000 KZT на руки,не требуется,ТОО ABIS Investments,Вакансия опубликована 24 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Интернет-реклама;Instagram;Facebook;Таргетинг;Генерация идей;,https://almaty.hh.kz/vacancy/76391391
Семейная помощница / Семейный помощник,40,от 200 200 до 200 200 KZT до вычета налогов,не требуется,Частное образовательное Учреждение SOS Детская деревня Алматы,Вакансия опубликована 18 мая 2023 в Алматы,"Алматы, улица Луганского, 95",полный день,"Полная занятость, полный день",Навыки межличностного общения;Работа в команде;Психология Личности;,https://almaty.hh.kz/vacancy/77284730
Помощник кондитера,94,от 150 000 до 165 000 KZT на руки,не требуется,ТОО Coffee Group Company,Вакансия опубликована 2 мая 2023 в Алматы,Алматы,сменный график,"Полная занятость, сменный график",Работа в команде;Умение работать в команде;Стрессоустойчивость;Коммуникабельность;желание учиться;,https://almaty.hh.kz/vacancy/79961458
Администратор Образовательного Центра,8,от 200 000 KZT на руки,не требуется,ИП Эрудит,Вакансия опубликована 1 мая 2023 в Алматы,"Алматы, проспект Достык, 162к5",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Организаторские навыки;Управление персоналом;Ведение переговоров;Проявление тактичности и толерантности;Организация учебного процесса;CRM;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/79952967
Ассистент учителя (Teaching Assistant),132,от 160 000 KZT на руки,не требуется,Казахстанская школа интеллекта,Вакансия опубликована 18 мая 2023 в Алматы,"Алматы, проспект Аль-Фараби, 118/15",полный день,"Полная занятость, полный день",умение организовывать работу и работать в команде;профессионализм;Английский язык;Любовь к детям;Преподаватель;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80626091
Hotel Receptionist,72,от 200 000 до 250 000 KZT на руки,не требуется,ТОО Милдом Отель,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Богенбай батыра, 128",сменный график,"Частичная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/79971637
Администратор в музыкальную школу,8,от 150 000 до 150 000 KZT на руки,не требуется,ИП JK MUSIC SCHOOL,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Кабдолова, 22В",полный день,"Полная занятость, полный день",Консультирование клиентов по телефону;Умение работать в команде;Консультирование;Работа с людьми;Консультирование клиентов;Уверенный пользователь ПК;Грамотная устная и письменная речь;Составление графиков работы;Любовь к детям;Русский язык;Казахский язык;Умение расставлять приоритеты;Работа в CRM системе;Работа с базами данных;,https://almaty.hh.kz/vacancy/80850225
Оператор 1С,18,от 207 000 до 207 000 KZT до вычета налогов,не требуется,ТОО Трансавиа,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, микрорайон Керемет, 5к17",полный день,"Полная занятость, полный день",оформление документации;Желание учиться и развиваться;Опыт работы с клиентами;Дебиторская задолженность;Пользователь ПК;Коммуникация;,https://almaty.hh.kz/vacancy/80786321
Вожатый в детский лагерь,132,з/п не указана,не требуется,ТОО Ngup,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, улица Казыбек Би, 65",полный день,"Полная занятость, полный день",Обучение и развитие;Грамотность;Работа в команде;Ориентация на результат;Детская психология;Навыки межличностного общения;Творческое мышление;Казахский — C1 — Продвинутый;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80957472
Помощник педагога/вожатый в дневной лагерь,40,з/п не указана,не требуется,ТОО Sivital-Казахстан,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, проспект Назарбаева, 264",полный день,"Полная занятость, полный день",Обучение и развитие;Организация мероприятий;Творчество;Работа в команде;Многозадачность;Творческое мышление;Организаторские навыки;Умение работать в коллективе;Работа с детьми;организация досуга;Творческий подход к работе;Готовность к обучению;Любовь к детям;,https://almaty.hh.kz/vacancy/80435732
SMM / Продакт-менеджер - GAME OVER SHOP,3,от 250 000 до 300 000 KZT до вычета налогов,не требуется,ИП GOSH,Вакансия опубликована 17 мая 2023 в Алматы,Алматы,сменный график,"Полная занятость, сменный график",Работа в команде;SMM;Креативность;,https://almaty.hh.kz/vacancy/80594777
Хостес,140,от 150 000 до 220 000 KZT на руки,не требуется,ИП Сулейменова,Вакансия опубликована 26 мая 2023 в Алматы,"Алматы, микрорайон Кемел",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80868988
Помощник повара,94,от 150 000 до 300 000 KZT до вычета налогов,не требуется,ТОО СУМО-САН,Вакансия опубликована 8 мая 2023 в Алматы,"Алматы, Абая, Байконур, Театр имени Ауэзова, улица Байтурсынова, 159",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80185928
Direct-менеджер / Instagram-менеджер,3,от 75 000 до 150 000 KZT до вычета налогов,не требуется,ТОО today.travel UK,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, улица Курмангазы, 143",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80438902
Администратор,8,от 150 000 KZT на руки,не требуется,ИП Scales ofJustice,Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80494755
Начинающий специалист,40,от 400 000 до 1 500 000 KZT на руки,не требуется,ТОО АГ ТЕХНОЛОДЖИ,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, Алатау, улица Абиша Кекилбайулы, 34",полный день,"Полная занятость, полный день",Грамотная речь;Консультирование;Навыки переговоров;Навыки продаж;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80498203
Оператор техподдержки в Яндекс Такси,71,от 150 000 до 250 000 KZT на руки,не требуется,ТОО PLATINUM 2.0,Вакансия опубликована 19 мая 2023 в Алматы,"Алматы, улица Муканова, 113",полный день,"Полная занятость, полный день",Грамотность;входящие звонки;Грамотная устная и письменная речь;Уверенный пользователь ПК;,https://almaty.hh.kz/vacancy/80716473
Support Associate (Сотрудник службы поддержки),121,до 280 000 KZT до вычета налогов,не требуется,ТОО Wolt TechnologiesKazakhstan (Вольт Технолоджис Казахстан),Вакансия опубликована 27 апреля 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Customer Support;Customer Service;Multitasking;,https://almaty.hh.kz/vacancy/79886221
Бухгалтер на первичную документацию,18,от 200 000 до 250 000 KZT до вычета налогов,не требуется,ИП AlmaGlass,Вакансия опубликована 25 мая 2023 в Алматы,"Алматы, улица Василия Бенберина, 16",полный день,"Полная занятость, полный день",Акты сверок;1С: Предприятие 8;Первичная бухгалтерская документация;Первичные документы;Составление договоров;,https://almaty.hh.kz/vacancy/80683277
"Продавец в магазин одежды в МЕГУ, ДОСТЫК ПЛАЗА, МЕГАПАРК, АПОРТ",40,до 250 000 KZT на руки,не требуется,ТОО Union Space`TM (ТОО Brand Hub Group),Вакансия опубликована 16 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80499870
Помощник адвоката,146,до 300 000 KZT на руки,не требуется,ТОО Каймаков и Партнеры,Вакансия опубликована 24 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80989390
Логист (удаленно),67,от 80 000 KZT на руки,не требуется,ИП Health Food (Зоров В. Time Service),Вакансия опубликована 15 мая 2023 в Алматы,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Пользователь ПК;Поиск информации в интернет;Грамотная речь;Internet;Google Chrome;Распределительная логистика;Логистика;Транспортная логистика;,https://almaty.hh.kz/vacancy/80427424
Стажер в отдел бухгалтерии и финансов,40,з/п не указана,не требуется,LC Waikiki,Вакансия опубликована 22 мая 2023 в Алматы,Алматы,полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/80785360
Фасовщик,146,от 170 000 до 225 000 KZT на руки,не требуется,ТОО Тен и Ко (TM BASILIC),Вакансия опубликована 4 мая 2023 в Алматы,"Алматы, Райымбек батыра, проспект Суюнбая, 15",полный день,"Полная занятость, полный день",Грамотная речь;Договорная работа;Ориентация на результат;Умение планировать;Юриспруденция;,https://almaty.hh.kz/vacancy/80099789
Промоутер (электросамокаты),40,от 180 000 до 350 000 KZT на руки,не требуется,ТОО Jet Sharing,Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80850337
IT Intern (Paid Internship),10,з/п не указана,не требуется,ТОО Caspian International Restaurants company,Вакансия опубликована 4 мая 2023 в Алматы,Алматы,полный день,"Стажировка, полный день",MS PowerPoint;Analytical skills;Time management;Работа с документами;MS Excel;Communication skills;,https://almaty.hh.kz/vacancy/80084680
Администратор,40,от 180 000 до 350 000 KZT на руки,не требуется,ИП Егоров Александр Николаевич,Вакансия опубликована 26 мая 2023 в Алматы,"городская гмина Познань, улица Радлова, 22",полный день,"Полная занятость, полный день",Поиск информации в интернет;Телефонные переговоры;Активные продажи;Любовь к детями;,https://almaty.hh.kz/vacancy/80282585
Экспедитор,40,от 300 000 KZT на руки,не требуется,ТОО SD Trade In,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, Алатауский район, микрорайон Болашак, 32",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78489135
Администратор офиса,140,от 150 000 KZT на руки,не требуется,ИП Istudy,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, Бауыржан Момышулы, микрорайон Мамыр-1, 29/6",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80421424
TikTok менеджер начинающий,3,от 120 000 до 180 000 KZT до вычета налогов,не требуется,ТОО REDlab.kz,Вакансия опубликована 16 мая 2023 в Алматы,Алматы,гибкий график,"Частичная занятость, гибкий график",Наполнение контентом;SMM;Написание текстов;Креативность;Обработка видео;Поиск информации в интернет;Русский — A1 — Начальный;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80471538
Кадровик,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 22 мая 2023 в Алматы,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;,https://almaty.hh.kz/vacancy/80791706
Видеооператор/видеомонтажёр,20,от 350 000 до 600 000 KZT на руки,не требуется,ТОО BLVCKSQUAR,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, проспект Жибек Жолы, 135",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80808104
Дизайнер,34,з/п не указана,не требуется,ТОО Subaru Kazakhstan,Вакансия опубликована 26 мая 2023 в Алматы,"Алматы, проспект Аль-Фараби, 107",полный день,"Полная занятость, полный день",Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80890881
Кадровый менеджер,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 12 мая 2023 в Алматы,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;,https://almaty.hh.kz/vacancy/80338226
Агент командирского груза,40,з/п не указана,не требуется,"AIR ASTANA, АО",Вакансия опубликована 23 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Клиентоориентированность;Гибкость;Логическое мышление;Коммуникабельность;,https://almaty.hh.kz/vacancy/80872573
Администратор салона красоты,8,до 200 000 KZT на руки,не требуется,ИП Мурзабаева,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, Бауыржан Момышулы",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80465261
Хостес,140,от 150 000 до 200 000 KZT на руки,не требуется,ИП Ким А.В.,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, Алатау, Байконур, Театр имени Ауэзова, улица Ауэзова, 84",сменный график,"Полная занятость, сменный график",Пользователь ПК;Работа в команде;Грамотная речь;Деловое общение;Телефонные переговоры;,https://almaty.hh.kz/vacancy/80310889
Фотограф/видеограф,20,от 175 000 до 225 000 KZT на руки,не требуется,"АО РТС Деко, АО",Вакансия опубликована 15 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Обработка видео;Репортажная фотосъемка;,https://almaty.hh.kz/vacancy/79960825
Фармацевт-провизор,133,от 200 000 до 250 000 KZT на руки,не требуется,ТОО АНЦ Аптека низких цен,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, микрорайон Орбита-3, 1",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80784642
Младший менеджер торговой марки / Junior Brand Manager,68,з/п не указана,не требуется,ТОО Нестле Фуд Казахстан,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, улица Тимирязева, 28В",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80445949
