Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Менеджер по работе с тендерами,119,от 150 000 KZT на руки,не требуется,ТОО Промышленный дизайн,Вакансия опубликована 27 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",MS Word;MS Excel;Ведение переговоров;Навыки переговоров;Телефонные переговоры;Ведение клиентской базы;Битрикс 24;Работа в команде;Грамотная речь;,https://almaty.hh.kz/vacancy/80665502
Посудомойщица / мойщица (Посудомойщик / мойщик) посуды,40,от 140 000 до 140 000 KZT на руки,не требуется,ТОО ПродМастер ПВ,Вакансия опубликована 17 мая 2023 в Павлодаре,"Павлодар, улица Лермонтова, 49",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80557157
Администратор торгового зала в автосалон,8,от 100 000 до 120 000 KZT на руки,не требуется,ТОО ASTER AUTO,Вакансия опубликована 24 мая 2023 в Павлодаре,"Павлодар, Торговая улица, 1",сменный график,"Полная занятость, сменный график",Грамотная речь;Пользователь ПК;Ведение переговоров;Деловая переписка;Деловая коммуникация;Телефонные переговоры;1С: Предприятие 8;,https://almaty.hh.kz/vacancy/80696685
Региональный управляющий,8,от 180 000 до 200 000 KZT до вычета налогов,не требуется,ТОО Индустрия Чистоты,Вакансия опубликована 12 мая 2023 в Павлодаре,"Павлодар, улица Шакарима Кудайбердыулы, 2/1",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80348727
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80996402
Технолог литейного производства,49,от 250 000 KZT до вычета налогов,не требуется,ТОО Format Mach Company,Вакансия опубликована 19 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Высшее образование;Технический контроль производства;Ведение документации;Производственный контроль;Организация производства;,https://almaty.hh.kz/vacancy/80733329
Экономист по работе с субсидиями,18,до 230 000 KZT до вычета налогов,не требуется,ТОО QSM Engineering,Вакансия опубликована 12 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день","Порядочность, ответственность, коммуникабельность, пунктуальность;",https://almaty.hh.kz/vacancy/80339592
Санитарка/санитар,40,от 100 до 120 KZT на руки,не требуется,ТОО Частная клиника Искакова,Вакансия опубликована 2 мая 2023 в Павлодаре,"Павлодар, улица Гагарина, 16",полный день,"Полная занятость, полный день",Умение работать в команде;Работа с людьми;,https://almaty.hh.kz/vacancy/79995455
Автослесарь,5,от 250 000 KZT до вычета налогов,не требуется,ТОО Альянс Камкор Авто,Вакансия опубликована 26 мая 2023 в Павлодаре,"Павлодар, Торговая улица, 1",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79823991
Помощник технолога,49,от 160 000 до 180 000 KZT на руки,не требуется,ТОО ПКФ Рыбный Мир,Вакансия опубликована 19 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Электронная почта;,https://almaty.hh.kz/vacancy/80686602
Лаборант химического анализа,49,до 150 000 KZT до вычета налогов,не требуется,ТОО KSP Steel,Вакансия опубликована 3 мая 2023 в Павлодаре,Казахстан,полный день,"Полная занятость, полный день",Пользователь ПК;Техническое обслуживание;Электронная почта;,https://almaty.hh.kz/vacancy/53000670
Агент - консультант ДНП,40,от 200 000 KZT на руки,не требуется,ТОО Alina Group,Вакансия опубликована 24 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80921251
Инженер,114,з/п не указана,не требуется,ТОО Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),Вакансия опубликована 16 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79588358
Специалист по взысканию задолженности,120,з/п не указана,не требуется,ТОО Коллекторское агентство «ФА «Альянс Финанс»,Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Работа в команде;Грамотность;Internet;,https://almaty.hh.kz/vacancy/81032179
Инспектор по взысканию долгов,120,от 100 000 до 160 000 KZT на руки,не требуется,ТОО ТОО (Коллекторское Агентство) Агентство по работе с дебиторами,Вакансия опубликована 22 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80792023
Техник-лаборант,79,от 140 000 руб. на руки,не требуется,ТОО Жана Роса,Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80229987
Мерчендайзер-грузчик,77,от 160 000 до 175 000 KZT до вычета налогов,не требуется,ТОО Бэст Прайс Казахстан,Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Выкладка товаров;Мерчандайзинг;Линейная выкладка товара;Умение работать в команде;Контроль сроков годности;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/80512677
Преподаватель по робототехнике,132,от 70 000 до 120 000 KZT на руки,не требуется,ИП ИВАНОВ И.А. «Школа робототехники Byte»,Вакансия опубликована 8 мая 2023 в Павлодаре,Алматы,гибкий график,"Частичная занятость, гибкий график",Пользователь ПК;Грамотная речь;Творческое мышление;Обучение;Преподаватель;Работа с детьми;Любовь к детям;Педагогика;Умение работать с детьми;,https://almaty.hh.kz/vacancy/80189148
Оператор станков (резчик/закальщик/полировщик стекла),86,от 180 000 KZT до вычета налогов,не требуется,ТОО СтеклоМир,Вакансия опубликована 23 мая 2023 в Павлодаре,"Павлодар, улица Ермухана Бекмаханова, 153",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80894728
Машинист насосных установок,115,от 120 000 KZT до вычета налогов,не требуется,ТОО KSP Steel,Вакансия опубликована 22 мая 2023 в Павлодаре,Казахстан,полный день,"Полная занятость, полный день",Пользователь ПК;Оперативный поиск информации в сети Интернет;Maple;,https://almaty.hh.kz/vacancy/72446896
Эксперт-оценщик,40,от 160 000 до 160 000 KZT на руки,не требуется,ТОО М-Ломбард,Вакансия опубликована 24 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Обучение персонала;Ориентация на результат;Умение работать в команде;,https://almaty.hh.kz/vacancy/80557442
Инженер отдела материально-технического снабжения,66,от 148 000 KZT на руки,не требуется,"ОАО Павлодарская Распределительная Электросетевая Компания, АО",Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80991233
Оператор/слесарь на Нефтебазу,115,от 140 000 KZT до вычета налогов,не требуется,ТОО Гелиос,Вакансия опубликована 17 мая 2023 в Павлодаре,"Павлодар, Каирбаева, 94",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80582180
Машиностроитель,128,от 140 000 до 260 000 KZT до вычета налогов,не требуется,ТОО KSP Steel,Вакансия опубликована 22 мая 2023 в Павлодаре,Казахстан,полный день,"Полная занятость, полный день",MS Paint;Металлообработка;Массовое производство;Машиностроение;,https://almaty.hh.kz/vacancy/72511726
Торговый представитель,129,з/п не указана,не требуется,ТОО СВИТ Company 2016,Вакансия опубликована 5 мая 2023 в Павлодаре,"Усть-Каменогорск, проспект Абая, 181/3к2",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80155158
Пекарь тандырной лепешки,40,от 183 000 до 200 000 KZT до вычета налогов,не требуется,ТОО ПКФ Атриум,Вакансия опубликована 22 мая 2023 в Павлодаре,Алматы,сменный график,"Полная занятость, сменный график",Желание обучаться;Опрятный внешний вид;Чистоплотность;,https://almaty.hh.kz/vacancy/71250723
Инженер АСУТП,48,з/п не указана,не требуется,"АО ""Полиметалл"",  Амурский филиал «Полиметалл Управляющая компания»",Вакансия опубликована 11 мая 2023 в Павлодаре,"Амурск, проспект Мира, 24А",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80266420
Металлург,49,от 150 000 KZT до вычета налогов,не требуется,ТОО KSP Steel,Вакансия опубликована 22 мая 2023 в Павлодаре,Казахстан,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/72511419
Персональный менеджер в с. Иртышск,57,з/п не указана,не требуется,ТОО Микрофинансовая организация KMF(КМФ),Вакансия опубликована 30 апреля 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/77516746
Электромонтер оперативно-выездной бригады,143,от 118 000 KZT на руки,не требуется,"ОАО Павлодарская Распределительная Электросетевая Компания, АО",Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80991222
Менеджер по взысканию,120,от 250 000 до 300 000 KZT на руки,не требуется,ТОО Коллекторское агентство Национальная служба взыскания,Вакансия опубликована 11 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Взыскание задолженности;проблемные займы;умение убеждать;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80157305
Сотрудник/повар-кассир ресторана BURGER KING (ТРЦ Батыр Молл),94,з/п не указана,не требуется,"ТОО “QSR” ,ТМ BURGER KING",Вакансия опубликована 18 мая 2023 в Павлодаре,Алматы,гибкий график,"Частичная занятость, гибкий график",Клиентоориентированность;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/79386223
Повар холодного цеха,94,от 112 000 до 139 000 KZT на руки,не требуется,ТОО Гелиос,Вакансия опубликована 17 мая 2023 в Павлодаре,"Павлодар, Каирбаева, 94",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80572749
Термист,85,з/п не указана,не требуется,ТОО KSP Steel,Вакансия опубликована 22 мая 2023 в Павлодаре,Казахстан,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/44885454
Экспедитор,40,от 108 000 KZT до вычета налогов,не требуется,ТОО Коктем,Вакансия опубликована 27 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Материальная ответственность;Приемка груза;Ответственное хранение;Ведение документации;,https://almaty.hh.kz/vacancy/80652396
Электромонтер по эксплуатации электросчетчиков,143,от 118 000 KZT на руки,не требуется,"ОАО Павлодарская Распределительная Электросетевая Компания, АО",Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80991228
Электромонтер по надзору за трассами кабельных линий,143,от 118 000 KZT на руки,не требуется,"ОАО Павлодарская Распределительная Электросетевая Компания, АО",Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80991223
Персональный менеджер (с. Аккулы),57,з/п не указана,не требуется,ТОО Микрофинансовая организация KMF(КМФ),Вакансия опубликована 16 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80502204
Токарь-расточник,128,от 180 000 KZT до вычета налогов,не требуется,ТОО KSP Steel,Вакансия опубликована 3 мая 2023 в Павлодаре,Казахстан,полный день,"Полная занятость, полный день",Точность и внимательность к деталям;Умение планировать;Творческое мышление;MS Paint;Металлообработка;,https://almaty.hh.kz/vacancy/50264408
Электромонтер по ремонту и обслуживанию электрооборудования,143,от 118 000 KZT на руки,не требуется,"ОАО Павлодарская Распределительная Электросетевая Компания, АО",Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80991227
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,не требуется,Skyeng,Вакансия опубликована 10 мая 2023 в Павлодаре,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255597
Инженер по охране окружающей среды,40,от 134 000 KZT на руки,не требуется,"ОАО Павлодарская Распределительная Электросетевая Компания, АО",Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",MS Outlook;Работа с большим объемом информации;,https://almaty.hh.kz/vacancy/80991195
Электрик (электромонтер/электрослесарь),143,от 150 000 до 250 000 KZT до вычета налогов,не требуется,ТОО KSP Steel,Вакансия опубликована 22 мая 2023 в Павлодаре,Казахстан,полный день,"Полная занятость, полный день",Техническое обслуживание;3 группа по электробезопасности;Электрические сети;,https://almaty.hh.kz/vacancy/73740984
Электромонтер по ремонту воздушных линий электропередачи,143,от 118 000 KZT на руки,не требуется,"ОАО Павлодарская Распределительная Электросетевая Компания, АО",Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Техническое обслуживание;Умение работать в команде;,https://almaty.hh.kz/vacancy/80991229
Менеджер по работе с блогерами,40,от 10 000 до 45 000 руб. на руки,не требуется,ООО Перфлюенс,Вакансия опубликована 27 мая 2023 в Павлодаре,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Грамотная речь;Ведение переговоров;Поиск информации в интернет;Высокий уровень самоорганизации;удаленная работа;Дистанционная работа;Интернет маркетинг;SMM;Internet Marketing;Работа в команде;Коммуникабельность;Интернет-реклама;,https://almaty.hh.kz/vacancy/80415001
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/79890397
Кухрабочая / Кухрабочий / Помощник повара,94,от 130 000 KZT на руки,не требуется,ТОО Павлодарский завод рудничной автоматики,Вакансия опубликована 10 мая 2023 в Павлодаре,"Павлодар, улица Малайсары Батыра, 74",полный день,"Полная занятость, полный день",Опрятность;Работа с людьми;Разрешение спорных ситуаций;Не конфликтность;Честный;Умение работать в команде;,https://almaty.hh.kz/vacancy/80206866
Региональный руководитель отдела продаж,106,з/п не указана,не требуется,ТОО Микрофинансовая организация Робокэш.кз,Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Организаторские навыки;Обучение персонала;Управление персоналом;Подбор персонала;Работа в команде;,https://almaty.hh.kz/vacancy/80077088
Электромонтер по ремонту и монтажу кабельных линий,143,от 118 000 KZT на руки,не требуется,"ОАО Павлодарская Распределительная Электросетевая Компания, АО",Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80991224
Приемщик поездов 3 разряда,40,от 129 000 до 129 000 KZT на руки,не требуется,АО ПАВЛОДАРЭНЕРГО,Вакансия опубликована 11 мая 2023 в Павлодаре,"Павлодар, улица Кривенко, 27",сменный график,"Полная занятость, сменный график",Умение работать в команде;Умение организовать работу;,https://almaty.hh.kz/vacancy/76847718
Сотрудник/повар-кассир ресторана BURGER KING (Павлодар),94,з/п не указана,не требуется,"ТОО “QSR” ,ТМ BURGER KING",Вакансия опубликована 18 мая 2023 в Павлодаре,Алматы,гибкий график,"Частичная занятость, гибкий график",Клиентоориентированность;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/77695256
Машинист мостового козлового крана в Павлодар,63,от 150 000 KZT до вычета налогов,не требуется,ТОО KSP Steel,Вакансия опубликована 22 мая 2023 в Павлодаре,Казахстан,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/37229860
