Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Оператор на производство,85,от 160 000 до 160 000 KZT на руки,не требуется,ТОО Промвзрыв,Вакансия опубликована 27 мая 2023 в Кокшетау,поселок Гранитный,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80445102
Учитель русского языка и литературы,132,з/п не указана,не требуется,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,"Кокшетау, улица Жумагали Тлеулина, 59",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Организаторские навыки;Творческое мышление;,https://almaty.hh.kz/vacancy/81015065
Ткач (ученик),85,от 150 000 до 250 000 KZT до вычета налогов,не требуется,ТОО Асыл Арман,Вакансия опубликована 16 мая 2023 в Кокшетау,Кокшетау,сменный график,"Стажировка, сменный график",ПК;Сосредоточенность;Умение общаться с клиентами;Общение с людьми;Желание обучаться;,https://almaty.hh.kz/vacancy/80473605
Педагог-организатор по начальной военной подготовке,132,з/п не указана,не требуется,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,"Кокшетау, улица Жумагали Тлеулина, 59",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81016828
Специалист по взысканию просроченной задолженности,146,от 120 000 до 400 000 KZT на руки,не требуется,ТОО Коллекторское агентство Эксперт,Вакансия опубликована 10 мая 2023 в Кокшетау,"Кокшетау, улица Абая, 142У",полный день,"Полная занятость, полный день",Деловое общение;Выездные мероприятия;Уверенный пользователь ПК;Планирование карьеры;Опытный пользователь ПК;,https://almaty.hh.kz/vacancy/80231812
Учитель химии,132,з/п не указана,не требуется,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Организаторские навыки;Творческое мышление;,https://almaty.hh.kz/vacancy/81015509
Оператор автоклава,5,от 170 000 до 200 000 KZT на руки,не требуется,ТОО МПК Бижан,Вакансия опубликована 16 мая 2023 в Кокшетау,Кокшетау,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80465643
Специалист отдела розыска и взысканий,40,от 100 000 до 300 000 KZT на руки,не требуется,АО Home Credit Bank,Вакансия опубликована 19 мая 2023 в Кокшетау,Алматы,сменный график,"Полная занятость, сменный график",Пользователь ПК;Телефонные переговоры;Работа в команде;Ведение переговоров;Деловое общение;Взыскание долгов;Опытный пользовать ПК;Умение легко находить контакт с людьми;,https://almaty.hh.kz/vacancy/80725564
Учитель физики,132,з/п не указана,не требуется,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Организаторские навыки;Творческое мышление;,https://almaty.hh.kz/vacancy/81015602
"Торговый представитель (Щучинск, Макинск)",129,от 265 000 KZT до вычета налогов,не требуется,ТОО Common Market Corporation,Вакансия опубликована 5 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79163191
Кредитный администратор,57,от 100 000 до 120 000 KZT на руки,не требуется,АО Нурбанк,Вакансия опубликована 10 мая 2023 в Кокшетау,"Кокшетау, улица Мухтара Ауэзова, 149",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80229909
Кредитный консультант,57,от 70 000 до 300 000 KZT до вычета налогов,не требуется,АО Home Credit Bank,Вакансия опубликована 5 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Деловое общение;Грамотная речь;Навыки продаж;Обучение и развитие;Деловая коммуникация;Ориентация на результат;Деловая этика;,https://almaty.hh.kz/vacancy/80154190
Тайный покупатель,40,з/п не указана,не требуется,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Кокшетау,Алматы,полный день,"Проектная работа/разовое задание, полный день",Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239871
Старший RM/Relationship manager,10,з/п не указана,не требуется,АО Банк ЦентрКредит,Вакансия опубликована 4 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Грамотность;MS PowerPoint;Деловое общение;Microsoft Access;,https://almaty.hh.kz/vacancy/78899583
Менеджер (Premier),57,з/п не указана,не требуется,АО Bereke Bank,Вакансия опубликована 5 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",работа с физическими лицами;Клиентоориентированность;Работа с большим объемом информации;Ориентация на результат;Английский язык;Деловое общение;Работа в команде;Консультирование клиентов;Материальная ответственность;оформление документации;,https://almaty.hh.kz/vacancy/80154263
Разнорабочий,40,от 148 000 до 148 000 KZT на руки,не требуется,ТОО Гормолзавод,Вакансия опубликована 15 мая 2023 в Кокшетау,Кокшетау,полный день,"Полная занятость, полный день",Работа в команде;Работа с людьми;Оперативный поиск информации в сети Интернет;Уборка;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80425779
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 17 мая 2023 в Кокшетау,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/80609891
Аналитик по складским запасам,10,з/п не указана,не требуется,ТОО Eurasia Group Kazakhstan,Вакансия опубликована 23 мая 2023 в Кокшетау,"Кокшетау, улица Уалиханова, 228",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/75704191
Специалист направления взыскания (Кокшетау),57,з/п не указана,не требуется,АО Банк ЦентрКредит,Вакансия опубликована 19 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",Взыскание задолженности;Деловое общение;Работа с большим объемом информации;Кредиторская задолженность;Работа с документами;Взыскание долгов;,https://almaty.hh.kz/vacancy/80721023
Учитель математики,132,з/п не указана,не требуется,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Организаторские навыки;Творческое мышление;,https://almaty.hh.kz/vacancy/81015549
Специалист по логистике и закупу запасных частей,111,з/п не указана,не требуется,ТОО Eurasia Group Kazakhstan,Вакансия опубликована 23 мая 2023 в Кокшетау,"Кокшетау, улица Уалиханова, 228",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/75704090
HR-специалист/ менеджер по персоналу,69,от 100 000 до 200 000 KZT на руки,не требуется,ИП ЭТАЖИ ИП Привальцев А.А.,Вакансия опубликована 28 мая 2023 в Кокшетау,"Кокшетау, проспект Нурсултана Назарбаева, 55",полный день,"Полная занятость, полный день","Деловая коммуникация;Коммуникабельность, ответственность;Работа в команде;Пользователь ПК;Грамотная речь;",https://almaty.hh.kz/vacancy/79769383
Начальник отдела продаж,106,от 300 000 до 600 000 KZT на руки,не требуется,ИП ЭТАЖИ ИП Привальцев А.А.,Вакансия опубликована 27 мая 2023 в Кокшетау,"Кокшетау, проспект Нурсултана Назарбаева, 55",полный день,"Полная занятость, полный день",Обучение и развитие;Внутренний контроль;Системное мышление;Формирование индивидуальных планов развития;Построение индивидуальных планов развития;,https://almaty.hh.kz/vacancy/70811561
Электрогазосварщик,109,от 88 000 до 114 000 руб. на руки,не требуется,ЗАО ЭнергоСтрой,Вакансия опубликована 3 мая 2023 в Кокшетау,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",Сварочные работы;Способность приспосабливаться к условиям;Электроэнергетика;,https://almaty.hh.kz/vacancy/78247813
Машинист бульдозера,63,от 130 000 до 130 000 руб. на руки,не требуется,ООО Дорожно-строительный трест № 1,Вакансия опубликована 22 мая 2023 в Кокшетау,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",E9,https://almaty.hh.kz/vacancy/79700316
Мерчендайзер,77,от 150 000 до 150 000 KZT на руки,не требуется,ИП N.V. BUSINESS GROUP,Вакансия опубликована 12 мая 2023 в Кокшетау,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80328843
Торговый представитель (Кокшетау город),129,от 180 000 до 300 000 KZT до вычета налогов,не требуется,ТОО фирма Траяна,Вакансия опубликована 5 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",Работа с возражениями;Поиск и привлечение клиентов;Управление отношениями с клиентами;Навыки продаж;Работа с дебиторской задолженностью;работа с текущей базой клиентов;Мерчендайзинг;,https://almaty.hh.kz/vacancy/80152375
Шеф-повар,94,от 10 000 до 10 000 KZT на руки,не требуется,TNPSNAB,Вакансия опубликована 27 мая 2023 в Кокшетау,Кокшетау,полный день,"Полная занятость, полный день",Готовить пищу;,https://almaty.hh.kz/vacancy/80050755
Сервисный инженер,111,от 200 000 до 350 000 KZT на руки,не требуется,ТОО Around Technology,Вакансия опубликована 23 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80886462
Администратор ресепшен,8,от 90 000 руб. на руки,не требуется,ИП БОРИСОВ Ю.В,Вакансия опубликована 27 мая 2023 в Кокшетау,"Кокшетау, Сулейменова 18, Кокшетау 020000",сменный график,"Полная занятость, сменный график",Пользователь ПК;Работа в команде;Грамотная речь;Консультирование клиентов;Навыки продаж;,https://almaty.hh.kz/vacancy/81134813
Администратор,8,от 70 000 до 200 000 KZT на руки,не требуется,ТОО ОРТЛАЙФ,Вакансия опубликована 18 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",Умение коммуницировать;,https://almaty.hh.kz/vacancy/80626610
Посыльный (Bellman),8,з/п не указана,не требуется,ТОО Burabay Hotel Management,Вакансия опубликована 2 мая 2023 в Кокшетау,Щучинск,сменный график,"Полная занятость, сменный график",Английский — B1 — Средний;Казахский — B2 — Средне-продвинутый;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/79961289
Электрик / Электромеханик,144,от 100 000 до 300 000 KZT до вычета налогов,не требуется,ТОО Лифт-Сервис 2006,Вакансия опубликована 26 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/81072601
Специалист с медицинским образованием,64,от 120 000 до 160 000 KZT на руки,не требуется,ТОО Басар,Вакансия опубликована 19 мая 2023 в Кокшетау,"Кокшетау, улица Махтая Сагдиева, 29",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79528344
Преподаватель фортепиано и вокала,132,от 150 000 до 300 000 KZT на руки,не требуется,ИП Oner ortalygy Kokshetau,Вакансия опубликована 12 мая 2023 в Кокшетау,"Кокшетау, улица Зарапа Темирбекова, 49",полный день,"Полная занятость, полный день",Умение работать в команде;Стабильность;Грамотность;Ответственность и пунктуальность;Хорошая обучаемость;Деловая переписка;Устойчивость к стрессам;,https://almaty.hh.kz/vacancy/80377105
Бухгалтер-кассир,18,з/п не указана,не требуется,Акмолинский областной филиал акционерного общества Агромашхолдинг KZ,Вакансия опубликована 16 мая 2023 в Кокшетау,"Кокшетау, улица Алатау, 1/1",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80473336
Инженер по гарантии (механик),111,от 195 000 KZT на руки,не требуется,КОКШЕТАУСКИЙ ФИЛИАЛ ТОО ВИРАЖ,Вакансия опубликована 15 мая 2023 в Кокшетау,"Кокшетау, 10-й проезд, 6",полный день,"Полная занятость, полный день","Стремление к профессиональному росту;Пользователь ПК;Знание устройства автомобиля;Мобильность;Улаживание конфликтов;Гарантийное обслуживание;Умение работать в условиях многозадачности;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80405829
Фармацевт,133,до 200 000 KZT до вычета налогов,не требуется,ТОО Арша,Вакансия опубликована 13 мая 2023 в Кокшетау,Алматы,сменный график,"Полная занятость, сменный график",Навыки продаж;Умение работать в команде;Пользователь ПК;,https://almaty.hh.kz/vacancy/78811899
