Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Менеджер Отдела платежных карточек,137,з/п не указана,не требуется,"Bank RBK, АО",Вакансия опубликована 3 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80046935
Старший финансовый консультант,40,з/п не указана,не требуется,"Евразийский банк, АО",Вакансия опубликована 27 мая 2023 в Талдыкоргане,"Талдыкорган, улица Гагарина, 134",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/76311924
Финансовый консультант,57,от 70 000 до 100 000 KZT до вычета налогов,не требуется,"Евразийский банк, АО",Вакансия опубликована 4 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80075900
Начинающий специалист по чат-ботам,10,от 150 000 KZT на руки,не требуется,Частная компания “Automated Communication Solutions Ltd.”,Вакансия опубликована 26 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Аналитическое мышление;Аналитические навыки;Работа в коллективе;Работа в СRM;,https://almaty.hh.kz/vacancy/79959866
Инженер-системотехник,111,з/п не указана,не требуется,ТОО Eurasia Group Kazakhstan,Вакансия опубликована 26 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",Настройка сетевых подключений;Ремонт ПК;Настройка ПО;Настройка ПК;Техническое обслуживание;,https://almaty.hh.kz/vacancy/76888783
Начинающий специалист,40,от 70 000 до 200 000 KZT до вычета налогов,не требуется,ТОО Империя Талдыкорган,Вакансия опубликована 27 мая 2023 в Талдыкоргане,"Талдыкорган, проспект Нурсултана Назарбаева, 58А",полный день,"Полная занятость, полный день",Позитивное мышление;Проведение презентаций;Высокая энергичность;Телефонные переговоры;Навыки работы в команде;,https://almaty.hh.kz/vacancy/77929272
Риэлтор - ученик,40,от 70 000 до 120 000 KZT до вычета налогов,не требуется,ТОО Империя Талдыкорган,Вакансия опубликована 8 мая 2023 в Талдыкоргане,"Талдыкорган, проспект Нурсултана Назарбаева, 58А",полный день,"Стажировка, полный день",Активные продажи;Консультирование;Телефонные переговоры;Сопровождение сделок;Ориентация на результат;Прямые продажи;,https://almaty.hh.kz/vacancy/79886339
Менеджер по взысканию задолженности (коллектор),137,от 120 000 KZT до вычета налогов,не требуется,ТОО Досудебное коллекторское агентство,Вакансия опубликована 25 мая 2023 в Талдыкоргане,"Талдыкорган, улица Рустембекова, 31Б",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78687416
Помощник менеджера по продажам,40,от 80 000 KZT на руки,не требуется,Частная компания “Automated Communication Solutions Ltd.”,Вакансия опубликована 27 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день","Грамотная речь;Умение работать с людьми;Знание языков;Внимательность, ответственность;",https://almaty.hh.kz/vacancy/80397760
Менеджер по работе с клиентами МСБ,57,з/п не указана,не требуется,"Bank RBK, АО",Вакансия опубликована 3 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80047142
Торговый представитель,129,от 200 000 до 500 000 KZT на руки,не требуется,ИП Расул,Вакансия опубликована 11 мая 2023 в Талдыкоргане,"село Еркин, улица Момышулы, 60",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80271518
Контролер контрольно-ревизионного управления,40,от 130 000 до 200 000 KZT на руки,не требуется,ТОО ALEMPAY (АЛЕМПЭЙ),Вакансия опубликована 26 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день","Умение работать с людьми;Работа в команде;Коммуникабельность, ответственность;Коммуникабельность, стрессоустойчивость;",https://almaty.hh.kz/vacancy/81082902
Преподаватель английского языка,132,от 200 000 до 250 000 KZT до вычета налогов,не требуется,ИП Юнусова (Языковая Школа Unique),Вакансия опубликована 26 мая 2023 в Талдыкоргане,"Талдыкорган, микрорайон Каратал, 56Г",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Креативность;Деловая коммуникация;Английский язык;Грамотность;,https://almaty.hh.kz/vacancy/81101842
Администратор ресторана,74,от 120 000 до 250 000 KZT на руки,не требуется,ТОО СӘТТІСІ,Вакансия опубликована 8 мая 2023 в Талдыкоргане,"Талдыкорган, улица Гагарина, 137",гибкий график,"Полная занятость, гибкий график",Ответственность;Целеустремленность;Лидерские качества;Порядочность;Стремление к личностному росту;,https://almaty.hh.kz/vacancy/80186350
Учитель английского языка,132,от 100 000 до 300 000 KZT до вычета налогов,не требуется,ИП Кудайбергенов Г.Т. (Школа Английского Smart English),Вакансия опубликована 13 мая 2023 в Талдыкоргане,Талдыкорган,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Умение работать в команде;,https://almaty.hh.kz/vacancy/80387667
Техничка / уборщик,40,от 120 000 до 120 000 KZT на руки,не требуется,ТОО ROMANTIC-TDK,Вакансия опубликована 29 апреля 2023 в Талдыкоргане,"Талдыкорган, улица Акын Сара, 155",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/79943372
Геодезист,27,от 150 000 KZT на руки,не требуется,ЖЕТЫСУСКИЙ ФИЛИАЛ РГП «ГОСГРАДКАДАСТР»,Вакансия опубликована 4 мая 2023 в Талдыкоргане,Талдыкорган,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80101646
