Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Специалист по подбору кадров,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 26 мая 2023 в Костанае,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/80153004
Специалист по подбору кадров,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 24 мая 2023 в Костанае,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/80933365
Контролер в супермаркет,40,от 150 000 до 160 000 KZT до вычета налогов,не требуется,ТОО Табыс&CO,Вакансия опубликована 12 мая 2023 в Костанае,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80332569
Кредитный менеджер (г. Костанай),57,от 140 000 до 170 000 KZT до вычета налогов,не требуется,ТОО МФО Экспресс займ,Вакансия опубликована 24 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80938594
Разнорабочий на производство,40,от 220 000 до 220 000 KZT на руки,не требуется,ИП Веселов Евгений Викторович,Вакансия опубликована 5 мая 2023 в Костанае,"Костанай, проспект Абая, 1С",полный день,"Полная занятость, полный день",Коммуникабельность;активность;,https://almaty.hh.kz/vacancy/80155203
Торговый представитель по г. Костанай (бытовая химия),129,от 200 000 до 250 000 KZT на руки,не требуется,ТОО Компания ALE,Вакансия опубликована 18 мая 2023 в Костанае,"Костанай, Киевская улица, 21/1",полный день,"Полная занятость, полный день",работа с текущей базой клиентов;Мерчендайзинг;Традиционная розница;Проведение промо акций;Современная розница;,https://almaty.hh.kz/vacancy/80629914
Мерчендайзер канал/КАМ (Key Account Manager),40,от 190 000 KZT на руки,не требуется,ТОО RG Brands Kazakhstan,Вакансия опубликована 23 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Мерчандайзинг;Выкладка товаров;,https://almaty.hh.kz/vacancy/80900342
Лаборант,168,з/п не указана,не требуется,ТОО МИЛХ,Вакансия опубликована 26 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80565717
Комплектовщик на склад,40,от 117 000 руб. на руки,не требуется,ООО Веллдан,Вакансия опубликована 16 мая 2023 в Костанае,Костанай,Вахтовый метод,"Полная занятость, Вахтовый метод",Работа с ТСД;Работа на складе;Способность быстро обучаться;Дружелюбность;,https://almaty.hh.kz/vacancy/79415250
Тайный покупатель,40,з/п не указана,не требуется,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Костанае,Алматы,полный день,"Проектная работа/разовое задание, полный день",Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239870
Оператор телемаркетолог,84,от 160 000 до 190 000 KZT до вычета налогов,не требуется,ТОО МФО LFTech (ТМ Деньги Маркет),Вакансия опубликована 26 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81072029
Помощник юриста,145,от 35 000 руб. на руки,не требуется,BY business group,Вакансия опубликована 19 мая 2023 в Костанае,"Костанай, улица Амангельды, 87",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80715591
Мерчендайзер по работе с ключевыми клиентами,77,от 190 000 KZT на руки,не требуется,ТОО RG Brands Kazakhstan,Вакансия опубликована 24 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Мерчандайзинг;Выкладка товаров;,https://almaty.hh.kz/vacancy/80935481
Торговый представитель категория А,129,от 185 000 до 370 000 KZT до вычета налогов,не требуется,ТОО Фирма Арасан,Вакансия опубликована 25 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Аналитика продаж;Поиск и привлечение клиентов;Управление продажами;Развитие продаж;Заключение договоров;,https://almaty.hh.kz/vacancy/81017967
Слесарь механосборочных работ,115,от 208 000 KZT до вычета налогов,не требуется,ТОО СарыаркаАвтоПром,Вакансия опубликована 2 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Мобильность;Обучаемость;внимательность;собранность;,https://almaty.hh.kz/vacancy/77624448
Специалист по взысканию просроченной задолженности,146,от 120 000 до 400 000 KZT на руки,не требуется,ТОО Коллекторское агентство Эксперт,Вакансия опубликована 26 мая 2023 в Костанае,"Костанай, проспект Аль-Фараби, 119",полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;Телефонные переговоры;Деловое общение;Грамотность;,https://almaty.hh.kz/vacancy/81103175
Промоутер-консультант/Хостес табачный бренд,140,от 112 000 до 200 000 KZT на руки,не требуется,ТОО CONTINEO,Вакансия опубликована 25 мая 2023 в Костанае,Алматы,полный день,"Частичная занятость, полный день",Работа в команде;Проведение презентаций;Ведение переговоров;Грамотная речь;Активные продажи;,https://almaty.hh.kz/vacancy/81025076
Стерженщик машинной формовки,85,от 250 000 KZT на руки,не требуется,ТОО КаmLitKZ,Вакансия опубликована 22 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80784799
Фармацевт,133,з/п не указана,не требуется,ТОО ТОО «Забота Company LTD,Вакансия опубликована 24 мая 2023 в Костанае,"Костанай, улица Касымханова, 74А",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80926636
Оператор видеонаблюдения,120,от 114 000 до 142 000 KZT на руки,не требуется,"Small, ТМ (Скиф Сауда, ТОО)",Вакансия опубликована 19 мая 2023 в Костанае,Алматы,сменный график,"Полная занятость, сменный график",Пользователь ПК;Работа в команде;Работа в условиях многозадачности;Работа с компьютером;Умение работать в условиях многозадачности;,https://almaty.hh.kz/vacancy/80718076
Специалист по досудебной работе,40,от 120 000 до 200 000 KZT до вычета налогов,не требуется,ТОО МФО LFTech (ТМ Деньги Маркет),Вакансия опубликована 23 мая 2023 в Костанае,"Костанай, улица Амангельды, 46",полный день,"Полная занятость, полный день","Работа в команде;Ориентация на результат;Деловое общение;Опытный пользовать ПК, знание MS Office;Телефонные переговоры;Ответственность и пунктуальность;Русский — C2 — В совершенстве;Казахский — B2 — Средне-продвинутый;",https://almaty.hh.kz/vacancy/79699114
Удаленный сотрудник по работе с клиентами,40,от 100 000 до 160 000 KZT до вычета налогов,не требуется,ТОО Oktrening,Вакансия опубликована 26 мая 2023 в Костанае,Алматы,удаленная работа,"Полная занятость, удаленная работа",Грамотная речь;Работа в команде;Грамотность;Работа с большим объемом информации;Деловое общение;,https://almaty.hh.kz/vacancy/79196851
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 25 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80996520
Оценщик в ломбард,57,от 130 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Астра-Лoмбард,Вакансия опубликована 5 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день","Терпеливость;Работа с компьютером;Знание компьютера;Серьезность;Внимательность, ответственность;Грамотная речь;Коммуникабельность, ответственность;Пользователь ПК;",https://almaty.hh.kz/vacancy/80158506
Дежурный по оборудованию,114,от 120 000 KZT на руки,не требуется,ТОО Uplink,Вакансия опубликована 12 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Работа с компьютером;Знание компьютера;Ответственность и пунктуальность;Ответственный подход к работе;,https://almaty.hh.kz/vacancy/80328678
Монтажник ПВХ-окон,78,от 200 000 до 400 000 KZT на руки,не требуется,ИП ГОСТокна,Вакансия опубликована 15 мая 2023 в Костанае,Костанай,полный день,"Полная занятость, полный день",Монтаж металлоконструкций;,https://almaty.hh.kz/vacancy/80431698
"Ведущий финансовый консультант, г. Костанай",16,з/п не указана,не требуется,"Евразийский банк, АО",Вакансия опубликована 7 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;оформление документации;Умение расставлять приоритеты;Страховые услуги;,https://almaty.hh.kz/vacancy/79031718
Диспетчер Service Desk,121,до 130 000 KZT на руки,не требуется,ТОО Logitex,Вакансия опубликована 2 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Ведение переговоров;Деловая переписка;Телефонные переговоры;Техническая поддержка;,https://almaty.hh.kz/vacancy/79967908
"Контролер ""Солнечный""",120,до 170 000 KZT до вычета налогов,не требуется,ТОО Костанайский ТЦ Солнечный,Вакансия опубликована 11 мая 2023 в Костанае,"Костанай, улица Карбышева, 85",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80268004
Торговый представитель на Детское направление,129,от 172 000 до 352 000 KZT на руки,не требуется,ТОО Аманат,Вакансия опубликована 11 мая 2023 в Костанае,"Костанай, улица 8 Марта, 23",полный день,"Полная занятость, полный день",Корпоративная этика;Навыки составления отчетности;Планирование продаж;Ведение клиентской базы;Поиск и привлечение клиентов;Активные продажи;Работа с возражениями;Мерчендайзинг;Ведение переговоров;Проведение презентаций;Работа в команде;Грамотная речь;,https://almaty.hh.kz/vacancy/80277629
Мерчендайзер по г. Костанай (кондитерские изделия),77,от 110 000 KZT на руки,не требуется,ТОО Компания ALE,Вакансия опубликована 24 мая 2023 в Костанае,"Костанай, Киевская улица, 21/1",полный день,"Полная занятость, полный день",Пользователь ПК;Контроль сроков годности;Turbo Pascal;Работа в команде;Способность обучать других;,https://almaty.hh.kz/vacancy/80921915
Администратор торгового зала/ресепшионист в автосалон,8,от 100 000 до 125 000 KZT на руки,не требуется,ТОО ASTER AUTO,Вакансия опубликована 16 мая 2023 в Костанае,Алматы,сменный график,"Полная занятость, сменный график",Грамотная речь;Работа в команде;,https://almaty.hh.kz/vacancy/79853734
Замерщик кровли и фасада,40,от 200 000 до 250 000 KZT на руки,не требуется,ТОО Торговый дом стройматериалов,Вакансия опубликована 23 мая 2023 в Костанае,"Костанай, Фабричная улица, 2",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78921936
Логист в транспортную компанию,67,от 200 000 до 350 000 KZT до вычета налогов,не требуется,ТОО 1 Контур,Вакансия опубликована 26 мая 2023 в Костанае,"Костанай, микрорайон Амангельды, Степная улица, 1",полный день,"Полная занятость, полный день",Автомобильные грузоперевозки;Логистика;,https://almaty.hh.kz/vacancy/79978492
Сварщик аргонной сварки,109,от 253 000 KZT до вычета налогов,не требуется,ТОО RG Brands Kazakhstan,Вакансия опубликована 16 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80476883
Дезинфектор (Специалист по борьбе с вредителями),85,от 250 000 KZT на руки,не требуется,ТОО ORKIN,Вакансия опубликована 25 мая 2023 в Костанае,Алматы,гибкий график,"Полная занятость, гибкий график",Грамотная речь;Работа с людьми;Ориентация на клиента;Способность быстро обучаться;Умение общаться с людьми;,https://almaty.hh.kz/vacancy/79920793
Сотрудник склада / Помощник кладовщика ТД ЦУМ,40,до 110 000 KZT на руки,не требуется,ТОО Детский мир - Казахстан,Вакансия опубликована 25 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80356037
Торговый представитель по г. Костанай (продукты питания),129,от 180 000 KZT на руки,не требуется,ТОО Компания ALE,Вакансия опубликована 2 мая 2023 в Костанае,"Костанай, Киевская улица, 21/1",полный день,"Полная занятость, полный день",работа с текущей базой клиентов;Мерчендайзинг;Традиционная розница;Проведение промо акций;Современная розница;,https://almaty.hh.kz/vacancy/79965966
Мерчендайзер,77,до 185 000 KZT до вычета налогов,не требуется,Филиал ТОО Бонус Корпорэйшн в г. Нур-Султан,Вакансия опубликована 22 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80232930
Повар ресторана,94,от 180 000 до 190 000 KZT до вычета налогов,не требуется,ТОО FESSLA,Вакансия опубликована 19 мая 2023 в Костанае,"Костанай, улица Карбышева, 55/5",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80720554
Кондитер,94,от 150 000 KZT до вычета налогов,не требуется,ИП Oil центр,Вакансия опубликована 15 мая 2023 в Костанае,"Костанай, улица Карбышева, 4/2",полный день,"Полная занятость, полный день",Грамотная речь;Грамотность;Домашняя кухня;Работа в условиях многозадачности;Работа в команде;Сосредоточенность;,https://almaty.hh.kz/vacancy/80410797
Мерчендайзер,77,з/п не указана,не требуется,ТОО Шин-Лайн,Вакансия опубликована 12 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Дегустации;Мерчандайзинг;Проведение промо акций;Управление складскими запасами;Традиционная розница;,https://almaty.hh.kz/vacancy/80357865
Онколог,24,з/п не указана,не требуется,ТОО Поликлиника №5 города Костанай,Вакансия опубликована 26 мая 2023 в Костанае,"Костанай, Уральская улица, 14",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81074271
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Костанае,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/79890401
Слесарь по металлу,115,от 180 000 KZT на руки,не требуется,ТОО Костанайэнерго,Вакансия опубликована 4 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Работа в команде;электроинструменты;,https://almaty.hh.kz/vacancy/74909603
Эксперт-оценщик,40,от 150 000 до 160 000 KZT на руки,не требуется,ТОО М-Ломбард,Вакансия опубликована 12 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Обучение персонала;Ориентация на результат;Умение работать в команде;,https://almaty.hh.kz/vacancy/80353151
Менеджер Отдела по работе с клиентами малого и среднего бизнеса в г.Костанай,40,з/п не указана,не требуется,АО Нурбанк,Вакансия опубликована 11 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80267802
Электромеханик Группы строительства сети,173,от 181 000 KZT до вычета налогов,не требуется,АО Транстелеком,Вакансия опубликована 27 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Навыки обслуживания клиентов;Опытный пользователь ПК;,https://almaty.hh.kz/vacancy/81158145
Кухонный рабочий,40,от 100 000 KZT на руки,не требуется,ТОО Торговый дом стройматериалов,Вакансия опубликована 13 мая 2023 в Костанае,"Костанай, Фабричная улица, 2",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79990508
Кухонный рабочий,40,от 115 000 KZT на руки,не требуется,ТОО АЙЭФСИЭМ КАЗАХСТАН,Вакансия опубликована 15 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80424368
Оператор-литейщик AMI на автоматах и автоматических линиях,85,з/п не указана,не требуется,ТОО КаmLitKZ,Вакансия опубликована 22 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80785091
Кухонная рабочая/Кухонный рабочий,40,от 130 000 до 150 000 KZT до вычета налогов,не требуется,ИП Oil центр,Вакансия опубликована 10 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Дружелюбность;Собранность;исполнение поручений руководителя;,https://almaty.hh.kz/vacancy/80244826
"Электромеханик Группы по подключению клиентов (ст. Костанай, Тобол)",173,от 181 000 KZT до вычета налогов,не требуется,АО Транстелеком,Вакансия опубликована 27 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день","Работа в команде;Техническая грамотность;Связь;Коммуникабельность, ответственность;Работа в условиях многозадачности;",https://almaty.hh.kz/vacancy/81158140
Врач-Маммолог,24,з/п не указана,не требуется,ТОО Поликлиника №5 города Костанай,Вакансия опубликована 26 мая 2023 в Костанае,"Костанай, Уральская улица, 14",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81070938
Оператор контакт-центра,137,от 100 000 до 150 000 KZT до вычета налогов,не требуется,ТОО МФО LFTech (ТМ Деньги Маркет),Вакансия опубликована 5 мая 2023 в Костанае,Алматы,сменный график,"Полная занятость, сменный график",проведение опросов общественного мнения;Работа в команде;Грамотная речь;Деловое общение;Клиентоориентированность;Казахский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80155420
Специалист по досудебной работе/коллектор,136,от 180 000 до 220 000 KZT до вычета налогов,не требуется,ТОО МФО LFTech (ТМ Деньги Маркет),Вакансия опубликована 5 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80155321
Лепщица/Лепщик полуфабрикатов,40,от 130 000 KZT до вычета налогов,не требуется,ИП Oil центр,Вакансия опубликована 11 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Чистоплотность;Опрятность;Способность быстро обучаться;Поварское дело;,https://almaty.hh.kz/vacancy/79153820
Повар,94,от 150 000 KZT до вычета налогов,не требуется,ИП Oil центр,Вакансия опубликована 1 мая 2023 в Костанае,"Костанай, улица Карбышева, 4/2",сменный график,"Полная занятость, сменный график",Способность обучать других;Поварское дело;Обучение и развитие;Креативность;Творческое мышление;Работа в команде;,https://almaty.hh.kz/vacancy/79950104
Торговый Представитель по г. Рудный (бытовая химия),129,от 200 000 KZT на руки,не требуется,ТОО Компания ALE,Вакансия опубликована 18 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",работа с текущей базой клиентов;Мерчендайзинг;Традиционная розница;Проведение промо акций;Современная розница;,https://almaty.hh.kz/vacancy/80631424
Модельщик по газифицированным моделям,40,от 180 000 KZT на руки,не требуется,ТОО Олжа Агро,Вакансия опубликована 11 мая 2023 в Костанае,"Костанай, проспект Нурсултана Назарбаева, 170",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80317225
Специалист отдела розничного бизнеса,40,з/п не указана,не требуется,АО Нурбанк,Вакансия опубликована 11 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80267751
Бригадный агроном в Узункольский регион,7,от 150 000 до 270 000 KZT до вычета налогов,не требуется,ТОО Олжа Агро,Вакансия опубликована 11 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80267987
Автослесарь / Автомеханик,5,от 520 до 1 260 USD на руки,не требуется,FIT SERVICE,Вакансия опубликована 25 мая 2023 в Костанае,"Костанай, улица Карбышева, 8/1",сменный график,"Полная занятость, сменный график",Желание работать и зарабатывать;Знание устройства автомобиля;,https://almaty.hh.kz/vacancy/80711367
Автослесарь,115,от 150 000 KZT на руки,не требуется,ИП Auto Sila,Вакансия опубликована 22 мая 2023 в Костанае,"Костанай, улица Карбышева, 8",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80822890
