Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Пешеходный агент-исследователь Яндекс Карт,40,от 20 000 до 45 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 2 мая 2023 в Темиртау,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79982209,,
Оператор,84,з/п не указана,ТОО Бюро Веритас Казахстан Индастриал Сервисез,Вакансия опубликована 10 мая 2023 в Темиртау,Алматы,сменный график,Полная занятость,"Ответственный подход к работе;Отличное знание ПК;Работа в команде;Работа с базами данных;Коммуникабельность, ответственность;Excel;",https://almaty.hh.kz/vacancy/80209555,,IT
Шиномонтажник-грузчик,40,от 200 000 до 260 000 KZT до вычета налогов,ТОО ЭЙКОС,Вакансия опубликована 23 мая 2023 в Темиртау,Алматы,полный день,Полная занятость,Выносливость;Работать в команде;Стабильность;Навыки обслуживания клиентов;,https://almaty.hh.kz/vacancy/79136993,,
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 17 мая 2023 в Темиртау,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80609893,,
Исследователь Яндекс Карт,40,от 20 000 до 45 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Темиртау,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79931849,,
Формовщик железобетонных изделий,85,от 200 000 KZT на руки,ТОО NORD Production Group,Вакансия опубликована 15 мая 2023 в Темиртау,"Темиртау, проспект Мира, 265",полный день,Полная занятость,Бетонные работы;Работа в команде;,https://almaty.hh.kz/vacancy/78113272,,Сервисное обслуживание/производство
Токарь,128,з/п не указана,АО Карцемент,Вакансия опубликована 3 мая 2023 в Темиртау,посёлок Актау,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80019270,,Сервисное обслуживание/производство
Инспектор ЛПЦ (листо-прокатного цеха),149,от 160 000 до 180 000 KZT на руки,ТОО СЖС Казахстан ЛТД,Вакансия опубликована 15 мая 2023 в Темиртау,"Темиртау, проспект Республики, 1/2, 4 этаж",полный день,Полная занятость,Ведение отчетности;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/79183615,,Сервисное обслуживание/производство
Исследователь города в Яндекс Карты,40,от 20 000 до 45 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 26 мая 2023 в Темиртау,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79931868,,
Менеджер по туризму,40,от 100 000 до 350 000 KZT на руки,ТОО Temir Travel Company,Вакансия опубликована 25 мая 2023 в Темиртау,Алматы,полный день,Полная занятость,Активные продажи;Телефонные переговоры;Деловая переписка;Ответственность;Стрессоустойчивость;умение вести диалог;Ориентация на результат;Мотивация;Уверенный пользователь ПК;,https://almaty.hh.kz/vacancy/81014435,,
Электромонтер,143,от 200 000 до 280 000 KZT на руки,ИП General Electric,Вакансия опубликована 29 мая 2023 в Темиртау,Алматы,полный день,Полная занятость,Техническое обслуживание;Электромонтажные работы;Ремонт электрооборудования;,https://almaty.hh.kz/vacancy/81236751,,Сервисное обслуживание/производство
Торговый представитель в г. Темиртау,129,от 150 000 до 250 000 KZT до вычета налогов,ТОО Компания ВладИра,Вакансия опубликована 15 мая 2023 в Темиртау,"Караганда, проспект Нурсултана Назарбаева, 53/1",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80440066,,
Электрик/автоматчик по ГПМ,169,от 300 000 до 500 000 KZT на руки,ТОО КазМеталлургАвтоматика,Вакансия опубликована 26 мая 2023 в Темиртау,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/81114380,,
Менеджер по туризму,40,от 70 000 до 350 000 KZT на руки,ТОО Temir Travel Company,Вакансия опубликована 2 мая 2023 в Темиртау,Алматы,полный день,Полная занятость,Активные продажи;Телефонные переговоры;Деловая переписка;Ответственность;Стрессоустойчивость;умение вести диалог;Ориентация на результат;Мотивация;Уверенный пользователь ПК;,https://almaty.hh.kz/vacancy/79997685,,
Оператор по отгрузке готовой продукции,84,з/п не указана,CAC,Вакансия опубликована 18 мая 2023 в Темиртау,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80661672,,IT
Электромонтажник слаботочных сетей,143,от 200 000 до 250 000 KZT на руки,ТОО Альянс строй сервис,Вакансия опубликована 22 мая 2023 в Темиртау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80795039,,Сервисное обслуживание/производство
Электромонтажник,40,от 100 000 до 120 000 KZT до вычета налогов,ТОО AYNALI SECURITY,Вакансия опубликована 16 мая 2023 в Темиртау,"Темиртау, улица Ушинского, 4",полный день,Полная занятость,Работа в команде;Электротехнические работы;Умение планировать;Умение работать в условиях многозадачности;,https://almaty.hh.kz/vacancy/80473280,,
