Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Учитель информатики,132,з/п не указана,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Организаторские навыки;Творческое мышление;,https://almaty.hh.kz/vacancy/81015633,,
Помощник бухгалтера,18,от 120 000 до 120 000 KZT до вычета налогов,ТОО Гормолзавод,Вакансия опубликована 4 мая 2023 в Кокшетау,Кокшетау,полный день,Полная занятость,Первичная бухгалтерская документация;1C: Бухгалтерия;Финансовая отчетность;Движение денежных средств;Материальная ответственность;Деловая этика;Работа с банками;Анализ текущих финансовых показателей;,https://almaty.hh.kz/vacancy/80092179,,Финансы
Изготовитель полуфабрикатов (лепщица/лепщик),40,от 140 000 до 160 000 KZT на руки,ТОО МПК Бижан,Вакансия опубликована 16 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,Чистое производство;Желание обучаться;Работа в команде;,https://almaty.hh.kz/vacancy/80465615,,
Торговый представитель ТМ МАХЕЕВЪ на регион,129,от 210 000 до 320 000 KZT до вычета налогов,ИП Торговая Компания ПРОДМИР ИП Мамилина Рахима Кошурбаевна,Вакансия опубликована 29 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,Поиск и привлечение клиентов;Работа с дебиторской задолженностью;Выполнение плана продаж;Мобильность;Ведение переговоров;,https://almaty.hh.kz/vacancy/79963169,,
Менеджер по рекламациям,54,от 150 000 KZT на руки,ТОО КазАгроЭксперт,Вакансия опубликована 2 мая 2023 в Кокшетау,"Кокшетау, улица Восточная Промзона 20-й проезд",полный день,Полная занятость,"Работа в команде;Работа с клиентами;Деловое общение;Деловая переписка;Работа с жалобами клиентов;Навыки работы с возражениями;Работа в коллективе;Умение слушать;грамотная устная речь, хорошо поставленный голос, необходимая дикция;Поиск информации в интернет;Точность и внимательность к деталям;Работа с большим объемом информации;Знание офисных программ;Умение работать в команде;",https://almaty.hh.kz/vacancy/79991277,,Менеджмент
Ткач (ученик),85,от 150 000 до 250 000 KZT до вычета налогов,ТОО Асыл Арман,Вакансия опубликована 16 мая 2023 в Кокшетау,Кокшетау,сменный график,Стажировка,ПК;Сосредоточенность;Умение общаться с клиентами;Общение с людьми;Желание обучаться;,https://almaty.hh.kz/vacancy/80473605,,Сервисное обслуживание/производство
Оператор автоклава,5,от 170 000 до 200 000 KZT на руки,ТОО МПК Бижан,Вакансия опубликована 16 мая 2023 в Кокшетау,Кокшетау,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80465643,,Сервисное обслуживание/производство
Намотчик-универсал,85,от 150 000 до 200 000 KZT до вычета налогов,ТОО Асыл Арман,Вакансия опубликована 29 мая 2023 в Кокшетау,Кокшетау,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81199215,,Сервисное обслуживание/производство
Педагог-организатор по начальной военной подготовке,132,з/п не указана,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,"Кокшетау, улица Жумагали Тлеулина, 59",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81016828,,
Специалист отдела розыска и взысканий,40,от 100 000 до 300 000 KZT на руки,АО Home Credit Bank,Вакансия опубликована 19 мая 2023 в Кокшетау,Алматы,сменный график,Полная занятость,Пользователь ПК;Телефонные переговоры;Работа в команде;Ведение переговоров;Деловое общение;Взыскание долгов;Опытный пользовать ПК;Умение легко находить контакт с людьми;,https://almaty.hh.kz/vacancy/80725564,,
Оператор на производство,85,от 160 000 до 160 000 KZT на руки,ТОО Промвзрыв,Вакансия опубликована 27 мая 2023 в Кокшетау,поселок Гранитный,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80445102,,Сервисное обслуживание/производство
"Торговый представитель (Щучинск, Макинск)",129,от 265 000 KZT до вычета налогов,ТОО Common Market Corporation,Вакансия опубликована 5 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79163191,,
Учитель русского языка и литературы,132,з/п не указана,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,"Кокшетау, улица Жумагали Тлеулина, 59",полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Организаторские навыки;Творческое мышление;,https://almaty.hh.kz/vacancy/81015065,,
Персональный менеджер (с.Саумалколь),40,з/п не указана,ТОО Микрофинансовая организация KMF(КМФ),Вакансия опубликована 29 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81214012,,
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 17 мая 2023 в Кокшетау,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80609891,,
Психолог-педагог,132,з/п не указана,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,"Кокшетау, улица Жумагали Тлеулина, 59",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81016332,,
Специалист по взысканию просроченной задолженности,146,от 120 000 до 400 000 KZT на руки,ТОО Коллекторское агентство Эксперт,Вакансия опубликована 10 мая 2023 в Кокшетау,"Кокшетау, улица Абая, 142У",полный день,Полная занятость,Деловое общение;Выездные мероприятия;Уверенный пользователь ПК;Планирование карьеры;Опытный пользователь ПК;,https://almaty.hh.kz/vacancy/80231812,,
Старший RM/Relationship manager,10,з/п не указана,АО Банк ЦентрКредит,Вакансия опубликована 4 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,Грамотная речь;Грамотность;MS PowerPoint;Деловое общение;Microsoft Access;,https://almaty.hh.kz/vacancy/78899583,,IT
Учитель химии,132,з/п не указана,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Организаторские навыки;Творческое мышление;,https://almaty.hh.kz/vacancy/81015509,,
Тайный покупатель,40,з/п не указана,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Кокшетау,Алматы,полный день,Проектная работа/разовое задание,Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239871,,
Учитель физики,132,з/п не указана,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Организаторские навыки;Творческое мышление;,https://almaty.hh.kz/vacancy/81015602,,
Разнорабочий,40,от 148 000 до 148 000 KZT на руки,ТОО Гормолзавод,Вакансия опубликована 15 мая 2023 в Кокшетау,Кокшетау,полный день,Полная занятость,Работа в команде;Работа с людьми;Оперативный поиск информации в сети Интернет;Уборка;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80425779,,
Аналитик по складским запасам,10,з/п не указана,ТОО Eurasia Group Kazakhstan,Вакансия опубликована 23 мая 2023 в Кокшетау,"Кокшетау, улица Уалиханова, 228",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/75704191,,IT
Учитель математики,132,з/п не указана,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Организаторские навыки;Творческое мышление;,https://almaty.hh.kz/vacancy/81015549,,
Специалист по логистике и закупу запасных частей,111,з/п не указана,ТОО Eurasia Group Kazakhstan,Вакансия опубликована 23 мая 2023 в Кокшетау,"Кокшетау, улица Уалиханова, 228",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/75704090,,Сервисное обслуживание/производство
Начальник отдела продаж,106,от 300 000 до 600 000 KZT на руки,ИП ЭТАЖИ ИП Привальцев А.А.,Вакансия опубликована 27 мая 2023 в Кокшетау,"Кокшетау, проспект Нурсултана Назарбаева, 55",полный день,Полная занятость,Обучение и развитие;Внутренний контроль;Системное мышление;Формирование индивидуальных планов развития;Построение индивидуальных планов развития;,https://almaty.hh.kz/vacancy/70811561,,
Электрогазосварщик,109,от 88 000 до 114 000 руб. на руки,ЗАО ЭнергоСтрой,Вакансия опубликована 29 мая 2023 в Кокшетау,Алматы,Вахтовый метод,Полная занятость,Сварочные работы;Способность приспосабливаться к условиям;Электроэнергетика;,https://almaty.hh.kz/vacancy/78247813,,Сервисное обслуживание/производство
Машинист бульдозера,63,от 130 000 до 130 000 руб. на руки,ООО Дорожно-строительный трест № 1,Вакансия опубликована 22 мая 2023 в Кокшетау,Алматы,Вахтовый метод,Полная занятость,E9,https://almaty.hh.kz/vacancy/79700316,,
Мерчендайзер,77,от 150 000 до 150 000 KZT на руки,ИП N.V. BUSINESS GROUP,Вакансия опубликована 12 мая 2023 в Кокшетау,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80328843,,
Торговый представитель (Кокшетау город),129,от 180 000 до 300 000 KZT до вычета налогов,ТОО фирма Траяна,Вакансия опубликована 5 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,Работа с возражениями;Поиск и привлечение клиентов;Управление отношениями с клиентами;Навыки продаж;Работа с дебиторской задолженностью;работа с текущей базой клиентов;Мерчендайзинг;,https://almaty.hh.kz/vacancy/80152375,,
Шеф-повар,94,от 10 000 до 10 000 KZT на руки,TNPSNAB,Вакансия опубликована 27 мая 2023 в Кокшетау,Кокшетау,полный день,Полная занятость,Готовить пищу;,https://almaty.hh.kz/vacancy/80050755,,
Сервисный инженер,111,от 200 000 до 350 000 KZT на руки,ТОО Around Technology,Вакансия опубликована 23 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80886462,,Сервисное обслуживание/производство
Администратор ресепшен,8,от 90 000 руб. на руки,ИП БОРИСОВ Ю.В,Вакансия опубликована 27 мая 2023 в Кокшетау,"Кокшетау, Сулейменова 18, Кокшетау 020000",сменный график,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Консультирование клиентов;Навыки продаж;,https://almaty.hh.kz/vacancy/81134813,,
Администратор,8,от 70 000 до 200 000 KZT на руки,ТОО ОРТЛАЙФ,Вакансия опубликована 18 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,Умение коммуницировать;,https://almaty.hh.kz/vacancy/80626610,,
Посыльный (Bellman),8,з/п не указана,ТОО Burabay Hotel Management,Вакансия опубликована 2 мая 2023 в Кокшетау,Щучинск,сменный график,Полная занятость,Английский — B1 — Средний;Казахский — B2 — Средне-продвинутый;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/79961289,,
Электрик / Электромеханик,144,от 100 000 до 300 000 KZT до вычета налогов,ТОО Лифт-Сервис 2006,Вакансия опубликована 26 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/81072601,,Сервисное обслуживание/производство
Специалист с медицинским образованием,64,от 120 000 до 160 000 KZT на руки,ТОО Басар,Вакансия опубликована 19 мая 2023 в Кокшетау,"Кокшетау, улица Махтая Сагдиева, 29",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79528344,,Медицина
Бухгалтер-кассир,18,з/п не указана,Акмолинский областной филиал акционерного общества Агромашхолдинг KZ,Вакансия опубликована 16 мая 2023 в Кокшетау,"Кокшетау, улица Алатау, 1/1",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80473336,,Финансы
Преподаватель гитары и домбыры,132,от 150 000 до 350 000 KZT на руки,ИП Oner ortalygy Kokshetau,Вакансия опубликована 29 мая 2023 в Кокшетау,"Кокшетау, улица Зарапа Темирбекова, 49",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81199011,,
Инженер по гарантии (механик),111,от 195 000 KZT на руки,КОКШЕТАУСКИЙ ФИЛИАЛ ТОО ВИРАЖ,Вакансия опубликована 15 мая 2023 в Кокшетау,"Кокшетау, 10-й проезд, 6",полный день,Полная занятость,"Стремление к профессиональному росту;Пользователь ПК;Знание устройства автомобиля;Мобильность;Улаживание конфликтов;Гарантийное обслуживание;Умение работать в условиях многозадачности;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80405829,,Сервисное обслуживание/производство
Преподаватель фортепиано и вокала,132,от 150 000 до 300 000 KZT на руки,ИП Oner ortalygy Kokshetau,Вакансия опубликована 12 мая 2023 в Кокшетау,"Кокшетау, улица Зарапа Темирбекова, 49",полный день,Полная занятость,Умение работать в команде;Стабильность;Грамотность;Ответственность и пунктуальность;Хорошая обучаемость;Деловая переписка;Устойчивость к стрессам;,https://almaty.hh.kz/vacancy/80377105,,
Фармацевт,133,до 200 000 KZT до вычета налогов,ТОО Арша,Вакансия опубликована 13 мая 2023 в Кокшетау,Алматы,сменный график,Полная занятость,Навыки продаж;Умение работать в команде;Пользователь ПК;,https://almaty.hh.kz/vacancy/78811899,,Медицина
